,type,gender_guessed,Height,Width,is_flat,age,years_selling,Uniqueness,is_signed,gallery,price_numeric,painting,description_present,location,image_path
4746,Unique work,male,79.9,71.7,Not flat,2.0,10.0,Unique,signed,gallery,43726.0,oil,No description,United States,images_thesis\2120100_1_m.jpg
4747,Unique work,unknown,40.0,30.0,Not flat,3.0,3.0,Unique,signed,gallery,2700.0,oil,Present,other,images_thesis\2115630_1_m.jpg
4748,Unique work,unknown,36.0,36.0,Not flat,2.0,3.0,Unique,signed,gallery,1650.0,acrylic,Present,other,images_thesis\2040096_1_m.jpg
4749,Unique work,unknown,48.0,36.0,Not flat,3.0,3.0,Unique,signed,gallery,1850.0,acrylic,Present,other,images_thesis\2027757_1_m.jpg
4750,Unique work,male,25.6,21.3,Not flat,35.0,7.0,Unique,signed,gallery,2277.0,oil,No description,France,images_thesis\2012205_1_m.jpg
4751,Unique work,male,28.0,20.0,Not flat,9.0,5.0,Unique,signed,gallery,2560.0,oil,No description,other,images_thesis\1912032_1_m.jpg
4752,Unique work,female,36.2,28.7,Not flat,4.0,3.0,Unique,signed,gallery,2648.0,oil,Present,other,images_thesis\1866171_1_m.jpg
4753,Unique work,unknown,8.7,35.8,Not flat,2.0,7.0,Unique,signed,gallery,838.0,other,No description,other,images_thesis\1793658_1_m.jpg
4754,Unique work,male,10.8,7.7,Flat,75.0,3.0,Unique,signed,gallery,5466.0,other,No description,Spain,images_thesis\1792320_1_m.jpg
4755,Unique work,female,21.3,26.0,Not flat,7.0,2.0,Unique,signed,gallery,2308.0,other,Present,other,images_thesis\1783992_1_m.jpg
4756,Unique work,male,18.1,15.0,Not flat,14.0,3.0,Unique,signed,gallery,1458.0,other,Present,Spain,images_thesis\1480083_1_m.jpg
4757,Unique work,unknown,19.7,15.7,Not flat,4.0,10.0,Unique,signed,gallery,790.0,other,Present,France,images_thesis\1443024_1_m.jpg
4758,Unique work,unknown,25.6,19.7,Not flat,3.0,5.0,Unique,signed,gallery,607.0,acrylic,No description,France,images_thesis\1436184_1_m.jpg
4759,Unique work,male,45.7,40.9,Flat,10.0,3.0,Unique,signed,gallery,5830.0,other,No description,Spain,images_thesis\1395735_1_m.jpg
4760,Unique work,female,27.6,17.3,Flat,4.0,5.0,Unique,signed,gallery,765.0,other,Present,other,images_thesis\1388265_1_m.jpg
4761,Unique work,male,8.7,10.6,Flat,63.0,9.0,Unique,signed,gallery,243.0,oil,Present,France,images_thesis\1315845_1_m.jpg
4762,Unique work,unknown,8.0,12.0,Not flat,4.0,4.0,Unique,signed,gallery,972.0,other,No description,United States,images_thesis\1308972_1_m.jpg
4763,Unique work,unknown,8.0,12.0,Not flat,4.0,4.0,Unique,signed,gallery,607.0,other,No description,United States,images_thesis\1307256_1_m.jpg
4764,Unique work,male,19.7,29.9,Not flat,117.0,6.0,Unique,signed,gallery,1641.0,oil,No description,other,images_thesis\1191261_1_m.jpg
4765,Unique work,unknown,32.7,22.8,Not flat,7.0,10.0,Unique,signed,gallery,704.0,other,Present,France,images_thesis\1178049_1_m.jpg
4766,Unique work,male,48.0,36.0,Flat,5.0,5.0,Unique,signed,gallery,1350.0,other,No description,United States,images_thesis\1161012_1_m.jpg
4767,Unique work,female,36.0,36.0,Not flat,8.0,4.0,Unique,signed,gallery,5500.0,other,No description,United States,images_thesis\1066968_1_m.jpg
4768,Unique work,female,19.7,39.4,Not flat,10.0,9.0,Unique,signed,gallery,3644.0,acrylic,No description,Spain,images_thesis\1056021_1_m.jpg
4769,Unique work,male,23.6,31.5,Not flat,11.0,9.0,Unique,signed,gallery,3644.0,acrylic,No description,Spain,images_thesis\771615_1_m.jpg
4770,Unique work,male,5.9,5.9,Not flat,21.0,6.0,Unique,not signed,gallery,1154.0,other,Present,France,images_thesis\708999_1_m.jpg
4771,Unique work,male,7.1,10.2,Not flat,75.0,6.0,Unique,signed,gallery,364.0,other,Present,other,images_thesis\655770_1_m.jpg
4772,Unique work,male,19.7,25.6,Not flat,30.0,10.0,Unique,signed,gallery,3401.0,oil,Present,France,images_thesis\558301_1_m.jpg
4773,Unique work,unknown,31.5,31.5,Not flat,11.0,9.0,Unique,signed,gallery,1943.0,oil,No description,France,images_thesis\448719_1_m.jpg
4774,Unique work,male,25.6,19.7,Flat,7.0,12.0,Unique,signed,gallery,1336.0,other,No description,France,images_thesis\383372_1_m.jpg
4775,Unique work,male,19.7,19.7,Not flat,21.0,12.0,Unique,signed,gallery,1336.0,other,No description,France,images_thesis\353905_1_m.jpg
